suburb,avg_study_score,school_count
Burwood,36.5,2
South Yarra,36.0,2
Toorak,35.3,3
Glen Iris,35.0,2
Kew,34.7,6
Ivanhoe,34.5,2
Armadale,34.5,2
Brighton,34.3,3
Wantirna South,33.7,3
Truganina,33.5,2
St Kilda East,33.5,4
Mount Waverley,33.3,3
Canterbury,33.2,5
Mentone,33.0,5
Hawthorn,32.7,3
Brighton East,32.0,2
Box Hill,32.0,3
Berwick,32.0,5
Mount Eliza,32.0,3
Donvale,31.5,2
Keysborough,31.3,7
Ballarat,31.2,4
Newtown,31.0,3
Mulgrave,31.0,2
Braybrook,31.0,2
Glen Waverley,30.8,4
Ringwood,30.8,4
Seymour,30.5,2
Ormond,30.5,2
Langwarrin South,30.5,2
Bell Post Hill,30.5,2
Essendon,30.2,5
Mont Albert North,30.0,2
Mordialloc,30.0,2
Northcote,30.0,2
Melbourne,30.0,6
Richmond,30.0,2
Endeavour Hills,30.0,2
Wheelers Hill,30.0,2
Wendouree,30.0,2
Eltham,30.0,3
Werribee,29.2,5
Mernda,29.0,3
Narre Warren South,29.0,2
South Morang,29.0,2
Drysdale,29.0,2
Armstrong Creek,29.0,2
Bundoora,28.7,3
Bendigo,28.7,3
Sunshine West,28.7,3
Horsham,28.7,3
Altona,28.5,2
Officer,28.5,4
Thornbury,28.5,2
Leongatha,28.5,2
Kyneton,28.5,2
Broadmeadows,28.4,5
Warrnambool,28.2,4
Shepparton,28.2,4
Frankston,28.2,4
Yarra Junction,28.0,2
Fitzroy North,28.0,2
Corio,28.0,2
Bacchus Marsh,28.0,2
Springvale,28.0,2
Mornington,28.0,2
Drouin,28.0,2
Tarneit,27.8,4
Mooroolbark,27.7,3
Wangaratta,27.7,3
Mount Clear,27.5,2
Hawthorn East,27.5,2
Kerang,27.5,2
Camperdown,27.5,2
Doreen,27.5,2
Greenvale,27.5,2
Ararat,27.5,2
Traralgon,27.5,2
Yarrawonga,27.5,2
Lilydale,27.5,4
Noble Park North,27.5,2
Point Cook,27.5,2
Swan Hill,27.5,2
Cranbourne,27.4,5
Epping,27.4,5
Sunbury,27.2,4
Warragul,27.0,3
Pakenham,27.0,3
Bairnsdale,27.0,2
Carrum Downs,27.0,2
Hamilton,26.8,4
Hoppers Crossing,26.5,2
Reservoir,26.5,2
Coburg,26.3,3
Sale,26.2,4
Benalla,26.0,2
Brunswick,26.0,2
Echuca,26.0,2
Mildura,26.0,2
Geelong,26.0,2
Caroline Springs,26.0,3
Sebastopol,26.0,2
Myrtleford,26.0,2
Maryborough,26.0,2
Preston,25.7,3
Melton,25.7,3
Fawkner,25.5,2
Colac,25.5,2
Melton South,25.5,2
Portland,25.5,2
Kyabram,25.0,2
Craigieburn,25.0,3
Cobram,25.0,2
Wodonga,25.0,2
Dandenong,24.3,3
Nathalia,23.0,2
Glenroy,21.0,2
